PS CODE,PS TITLE,DOMAIN,PROBLEM STATEMENTS,,,,,
#G014,Development of online platform for mentoring Startups,WEB APPLICATION,"There are many success stories around startup now a days. Presently, there is no online platform for mentoriship of startups. Mentoring and guidance are very critical for early stage startups. Online platform may help in reaching out to startups at grass root level including college students. So, we looking for software solution for (1) creating startups and mentors community. This can help Startups with market trends, etc. (2) helping startups to reach to mentors in required domain (3) possible",,,,,
#G015,AI and OCR - To search Telugu & Urdu words in PDF present in Unicode as well as in image format,WEB APPLICATION,"Need to search any data from a PDF. Data present in the PDF is a combination of English, Telugu & Urdu languages. The font used for Telugu is Shreelipi and for Urdu is Noori Nastaliq. Format of Data present in PDF will be in .pdf format and some data will be in image format. We need to search the data present in English, Telugu & Urdu languages which is present in Unicode as well as in image format. Sample data set has been uploaded.",,,,,
#G016,Alumni Tracking System,WEB APPLICATION,"The Directorate of Higher Education has 7 Government Colleges and 26 aided colleges under it. Altogether, more than 10000 students that pass out from them every year either choose to opt for further studies, work or have their own startups. Currently, there is no mechanism for the colleges and the Directorate to keep a track of the students passing out. Hence, the problem is to develop a web based application for colleges and the Directorate to keep a track of the Alumni. The said application should have the following features:- (a) allow the Alumni members to register themselves (b) allow colleges to verify and authenticate their registered alumni (c) provision for alumni members to update their details (d) allow the colleges to search details based on criteria such as year, subject, etc. (e) allow the Directorate to search details based on criteria such as colleges, year, subject, etc. (f) send messages and emails to alumni members (g) group chats, create events, publish notices on the portal (h) Security features with login for every user.",,,,,
#G017,Vehicle recognition and compilation in database software,WEB APPLICATION,"It would focus and capture various attributes of vehicles (Type of vehicle, model of vehicle, Colour, Number Plate of vehicle, Peculiar attachments, accessories, marking including dent marks) captured from various CCTV Systems through distributed intelligence (software) along with time and location stamp over the period of various targeted persons. The database so compiled to be used to identify suspects from video clips of crime related CCTV footages captured series of CCTV Systems located on routes and close to scene of crime",,,,,
#G018,Converting typed or printed document images (photos) to legible text documents and storing the critical information in a database and protecting the digital image with # value so that document is admissible as evidence.,WEB APPLICATION,"The application  should all documents formats of printed or typed documents and would convert them in text. The analytical tools would be used to identify the critical information available on the documents and would be stored along with identity of documents, crime number ((Thus linking it with all the attributes of the crime through this primary key), identify of document, authorship and other attributes): 1. Investigation Leads would be identified and would be pushed to Investigation Officer, Volunteers, Observers or the stakeholders as the case may be 2. Evidences would be saved with # value along with who would prove it in court. Certificate of legal admissibility, relevance and integrity would be provided. Certificates under 65 B would be auto generated to certify the process and authenticity",,,,,
#G019,Management Information System (MIS) software for IMOs,WEB APPLICATION,"1. Rashtriya Mahila Kosh (RMK), established as an autonomous body in 1993 is a national level organization under the aegis of the Ministry of Women and Child Development, for socio-economic empowerment of women. The operating model currently followed by RMK is that of a facilitating agency wherein RMK provides loans to NGO-MFIs termed as Intermediary Organizations (IMOs) which on-lend to Self Help Groups (SHGs) of women. These micro-credit loans are provided to women micro-entrepreneurs in both rural & urban areas, organised in Self-help groups (SHGs) / Joint lender groups (JLGs). 2. Eligible Intermediary Organizations (IMOs) are Non-Government Organizations (NGOs), Section 8 Companies registered under Companies Act 2013, Urban / Rural Women Co-operative Banks, Co-operative Societies etc. 3. Management Information System (MIS) software for IMOs – The software needs to capture information related to women beneficiaries (i.e. women micro-entrepreneurs) such as loan account information, repayment track record, economic activity, personal information (Aadhar Card, Bank Account Details, Age etc.), Income level, Savings, Demographic details (no. of family members, caste, religion, literacy level etc.)",,,,,
#G020,Innovative online tool for protection of Child Rights,WEB APPLICATION,"Build an app for tracking and monitoring status of children that stay in government recognized Child Card Institutions (CCI) and Specialized Adoption Agencies (SAA). Design an efficient biometric tracking tool that tracks daily attendance, as well as in and out movement of children from the respective institutions. Additionally, also tracks guardian visits in the system. Design a centralized system that enables tracking attendance and guardian visit across India. Ensure that this system also works in an offline manner. For example, if database is synced once then it should allow marking of attendance and guardian visit without having to sync the database. However, the attendance should be uploaded automatically once internet connection is available. The monthly grant will be sent only if the data is synced. Provide login to District Child Protection Unit (DCPU) and Child Welfare Committees (CWC) to enable them to access the tracking information. Provide facility to transfer child from one organization to other seamlessly without losing the past tracking information. Depending on the attendance and number of visits by guardian, provide recommendation on adoption eligibility of the child based on JJ Act of 2015 and Adoption Guidelines of 2017. Based on the recommendation, flag the children with higher eligibility to be moved to the legal adoption pool. Currently, a lot of eligible children are not being moved to the legal adoption pool and hence, their right to good family is being violated.",,,,,
#G021,Real-Time image processing and forensic verification of Fake Videos,INNOVATION,"Cyber Criminals are using Image processing tools and techniques for producing the variety of crimes, including Image Modification, Fabrication using Cheap & Deep Fake Videos/Image. • Desired Solution: The solution should focus on help the Image/Video verifier/examiner find out and differentiate a fabricated Image/Video with an original one. Technology that can help address the issue: AI/ML techniques can be used.",,,,,
#G022,Water Accounting in Irrigation Commands through Crowd Sourced Crop Mapping,INNOVATION,"Lack of dynamic crop maps and opacity in water utilisation data prevents proper water accounting at the level of irrigation commands. Information regarding area under various crops is generally available at an aggregate level e.g. district wise cultivated area under individual crops. Non-availability ofactual crop maps preventsspatial visualisation of water utilisation and therefore proper water accounting. National Remote Sensing Centre (NRSC), Hyderabad generates yearly Land Use Land Cover (LULC) maps at a finer resolution of 56m containing land use classes of crop season and number of crops (single/multiple crop). Crowdsourced information from farmers, agricultural extension service providers, local administration and local population may be used for generation of crop type maps for a particular irrigation season which in turn may be used for preparation of water accounts at various spatial scales rangingfrom command of a major to minor irrigation project. Water Accounting at various spatial and temporal scales in commands of irrigation projects will help in informed decision making during the ensuing crop season and leads to optimal utilisation of irrigation water.",,,,,
#G023,Job recommender system. To design a software application for assessing the abilities of a student with respect to employability.,INNOVATION,"At present efforts are made to revise and upgrade the curriculum by the AICTE to train the students to cater to industrial needs. But there are several factors that prevents the students to reach their zenith and harness their skills as below: 1. Socio-economic background of the student. 2. Peer influence 3. Addiction to cell phones and social media. 4. parents pressure to join a course in which the student is not interested. 5. lack of strong foundation in the fundamentals. 6. General prevalence of Learning Disability. The current metrics of CGPA, certificates are not enough to accurately assess the capability of a student. many students are sacked from the company after one or two years because they are not happy with the performance. Exact Problem: Every individual has an inherent ability /talent. if only he/she gets a job suiting the skill set the goal of AICTE will be achieved. Higher productivity will be there and youth power has a major role to play in a Nation's growth . Economy will improve. The proposed software should identify the skill set and assess the capacity of a student. It should recommend the suitable candidates against a requirement from the industry.",,,,,
#G024,CAPTCHA/alternative solution for Visually impaired,INNOVATION,Visually impaired citizens faces lot of problems with CAPTCHA authentication process. In some of the applications OTP is given as alternative but not with rest of the apps. In some of the apps audio captcha is provided but many citizens find it difficult to decipher. An effective solution for CAPTCHA or an alternative is required to address the problems faced by the visually impaired citizens.,,,,,
#G025,Size Invariant Ship detection from SAR Images,INNOVATION,"SAR satellites provide useful information for object detection. A methodology needs to be developed to detect ships at ocean area using SAR data and estimate size of the detected ships (size invariant). The methodology should be applicable for different resolution SAR data of same bands. Develop software with following two features- a) Land water discrimination using SAR imagery, b) Output detected ships as a vector file, with an estimate of the size of ship",,,,,
#G026,"Development of repository of tribal youth talent from various areas such as sports, arts, paintings, dance, culture, social service or any specific area.",INNOVATION,"Development of repository of tribal youth talent from various areas such as sports, arts, paintings, dance, culture, social service or any specific area. The specialized agencies/authorities involved in promoting such events could also reach out to these individuals for promoting them for advance training or any other support",,,,,
#G027,PREDICTION OF TARIFF RATE,INNOVATION,1. Project Statement To predict the tariff rate for next session (monthly/weekly/daily/hourly) for part truck load (Sundry and LTL). 2. Project Scope The predicting system must include the following: • Ability to predict tariff rate for sundry based on historical data • Ability to incorporate external factors listed under factors heading below • Ability to incorporate automated routing and notifications based on existing business rules 3. Deliverables The project is for TCI Freight division. This project is aimed to automate the generation of tariff rates for part truck load. Factors (to be included) 1) Seasonal Impact: Climatic Influences 2) Seasonal Impact: Natural calamities 3) Seasonal Impact: Festivals 4) Fuel Cost 5) Distance 6) Vehicle type/capacity 7) Toll charge 8) Labor cost: wages and availability 9) Demand 10) Customer loyalty 11) Government Regulations 12) Geopolitical events 13) Transit time 14) Nature of Product 15) Security 16) Insurance,,,,,
#G028,"Simplification of the process of e-tendering in EVC (electronic verification code) system, replacing Digital Signature Certificate by Aadhaar based OTP.",INNOVATION,"In order to simplify the process of e-tendering and to make the system cost effective and user friendly, the EVC (electronic verification code) system are required to be performed through Aadhaar based OTP, instead of existing Digital Signature Certificate. Design efficient solutions that enable use of Aadhar OTP and DigiLocker for sharing the documents for eTendering. Check https://maharashtra.etenders.in/tnduploads/mah/pressnotices/FAQ.html",,,,,
#G029,Effective use of Cyber Space and Cyber Technology to prevent violence against and trafficking of women and children,INNOVATION,Effective use of Cyber Space and Cyber Technology to prevent violence against and trafficking of women and children,,,,,
#G030,Voice command driven Web-GIS Applications (mobile/ desktop),INNOVATION,"As on date, Bhuvan is driven by GUI based features. Develop software for voice based navigation of Bhuvan portal and/or applications listed on Bhuvan portal. Solution can be provided for at-least 2 languages- 1. Language-1: Hindi or any other Indian regional language. (Participant may have to prepare the data-sets for desired language, and may also use online datasets, If available) 2. Language-2: English (Participant may use online available datasets). Specific focus should be on providing voice-based navigation for Web-GIS applications.",,,,,
#G031,Anti Theft Systems for 2 wheelers,Smart Technologies,"The participating teams are required to come up with a system that doesn’t allow tampering with ignition systems of 2W and also prevents fuel theft etc. The system needs to warn the owner about the tampering of the 2 wheeler ignition key/fuel knob etc. when the parking mode is ON. The teams shall develop a mobile application for warning the user/owner. The vehicle should not start when the ignition key switch is tampered with. If the vehicle is lifted during parking mode, the app should alert the user/owner through the app and also track the vehicle. The system should have the following features: Tampering detection tampering of ignition wire attempt to siphon fuel attempt to lift vehicle attempt to start vehicle without key App/mobile warning system GPS tracking of vehicle",,,,,
#G032,Solution For Predictive Maintenance and Battery Life saver for Electric Vehicles,Smart Technologies,"In line with the Government of India's vision of 30% e-mobility by 2030, the National EMobility Programme was launched in India in March, 2018. Under this programme, electric vehicles (EVs) are being procured by EESL and leased out to government organisations at rentals that are equal to the present rentals for petrol and diesel cars hired by these organisations. Battery is critical component of EV which is the fuel who runs Electric vehicle and hence it is imperative to monitor the battery life and predict about it maintenance, charge and give enhanced enriched user experience which not only save energy costs but also improve the standard of living",,,,,
#G033,Better and faster emergency care during accidents and vehicle impact.,Smart Technologies," emergency care o Ability to inform the closest police station, hospital, fire brigade—GPS location closest proximity guard or govt office to rush emergency care o In current situation it requires someone to call the emergency service and delays in calling for care , results in loss of life . with this device and service the call is automatically made and emergency care can be provided promptly o Evaluate the ease of connecting the device with the car easily externally, requires OEM support to develop such compatible cars • Purpose of this analysis and who will benefit o Person who meets with the accident and facility for the nearest emergency care to respond to the situation in a timely fashion o Govt can benefit by providing the device on rent in certain specific areas that are accident prone – and earn additional income o Govt agencies can start building net income by dealing in such devices and auxiliary services o OEMS – additional charge for service • Lateral Solutions where similar solution can be extrapolated o Car Theft or Window Windshield breaking o Car break down o Home Safety – breaking • How does it help the nation o Better and faster emergency care • Practical and reasons why this idea could be a challenge o Device manufacturing that works across regions , network connectivity o Economically viable in managing the security of such devices o Law Suit if the device did not work in an accident o OEM’s to modify car design to easily integrate with such devices , externally and easily plugin the device • Domain Bucket o Vehicles o Emergency care • Technology Bucket o Integration across systems – Integration platform across systems with security model for data extraction o IOT o Analytics & Data Science (if possible) - Bigdata/Hadoop, AI / ML o Data Aggregation o Visualization",,,,,
#G034,Jarvis (software robot assistant) for corporations,Smart Technologies,"Background: Today organizations have multiple tools and systems to help assist them in their day to day software development activities. There is need of a system which can connect to applications, mine & analyze data and provide results to stakeholders whenever they need it. Problem Statement: For example, questions to assist development activities could be: What is the status of the release of Project X that was due this Friday? Why was Feature Y not fulfilled in the last release for Project X? How many test cases failed in the last release of Project X? Send me an email with the last release notes for Project X How to install Project X? How was Feature Z implemented? (Note: the robot would need to connect to all the applications, and dig out all the relevant information (description of features and linked commits / comments /guides) related the Feature Z Help me solve the class not found exception against “ClassName” (Note: this would mean running a query on stack overflow) Create an AI/ML based application to be hosted within a corporate/organization intranet with complete access to corporate/organization resources of JIRA, Confluence, Bitbucket and Stack Overflow. The primary responsibility of this software robot (Intelligent Product Master - IPM) is to learn-mine-analyze-serve information about a product to optimize development and support processes in a product team. IPM’s input interfaces would be a mic and email to receive input from users. IPM’s output interfaces would be speaker and email to revert to users. Following are the two main use cases (but not limited to) 1. Anyone can ask/look up for any information to IPM. It responds with accurate answer by voice-to-text-conversion/email. Mining existing data (could use APIs of the information hosting applications). Co-relating multiple information, analyzes and respond text-to-voice/email. 2. Take the Speaker in a meeting (example: scrum ceremonies/meetings). It records the meeting MOM in detail in its own data-reservoir (database). The scrum master can also instruct IPM to do multiple activity during the meeting. Say: Create a jira task, pull out the last updated jira task. Send me the last email from XYZ to me etc. To implement this, you can use a computer/speak/mail server and client, Voice-text-voice converter, text to jira / confluence / bitbucket / Stack Overflow APIs, AI to Analyze data to get accurate information, ML to learn when taken in a meeting. The key challenges in the problem would be to architect an information store that is optimally designed to answer queries, and accurately answer questions posed to it. For voice to text, and text to voice, you may use standard (free) libraries/services available in the market.",,,,,
#G035,solutions required to solve the challenges faced by Law Investigating Officers (LEOs) in Cyber Crimes:,Smart Technologies,"1) Mechanism / tool that retrieves the information relating to transmission of a disputed posting and immediate deletion of the same within no time from WhatsApp messenger. 2) Mechanism / tool that capture the GPS coordinates & other credentials of certain message / posting posted using WhatsApp / Facebook and other messaging APPs. 3) Mechanism / tool that retrieves the initial user of certain posting in WhatsApp and Facebook using message ID. 4) Mechanism / tool that pings any social media account and capture the IP address and other credentials associated with that account. 5) Mechanism / tool / device that sends a signal to the target mobile and calculate the distance and direction from the source. Contact: Superintendent of Police, Cyber Crimes, CID email id: cybercrimes-cid@ap.gov.in",,,,,
#G036,Domain specific Learner facilitator Assist Software Given a learning resource the application should assist the learner in preparing for exams. For the facilitator the teaching material should be prepared automatically. The learning resource could be electronic materials on a particular subject.,Smart Technologies,Challenge 1 Generation of precise answers for the questions posed by the learner. - Given a learning resource ( a corpus of documents) the application should generate answers at various levels of granularity (details) for the questions posed by the learner. The challenge is the documents are unstructured and generating precise answers for the questions posed would be a challenge. -The types of questions to be handled could be objective or subjective. Based on the marks the answers retrieved should be shorter or lengthier. - Adding cues of important portion of the learning resource(highlighting of important points) Challenge 2 Automatic generation of PPT and handouts for the facilitator to assist in dissemination of content to the learners. - For generating the PPT automatically the important sentences/parts of the learning should be identified to the satisfaction of the facilitator. Motivation: -To improve the learning capabilities of slow learners and less motivated lazy students/wards -To save time in preparing for the exams -To save class/course delivery time of the facilitator - would help the parents involved in training their wards though they are not knowledgeable in a subject,,,,,
#G037,Attention Span Detection in Online Instructor Led Sessions,Smart Technologies,"As per a report by KPMG, it is estimated that by 2021, online education market in India is going to be around $ 2BN. Currently dominating and emerging categories in online education are K12 education, test preparation and professional learning Great Learning is a leading Ed-Tech company based out of India which is helping professionals develop career critical competencies in area of Analytics & Data Science, Machine Learning, Artificial Intelligence, Cyber Security, Cloud Computing, Design Thinking, Digital Marketing and many more. Great Learning has academic collaboration with leading Indian and global institutes like Great Lakes institute of management, Purdue University, UT Austin’s McCombs School of Business, Stanford University and so forth to deliver these programs. Since 6 years of its founding, it has impacted careers of 10,000+ working professionals Great Learning’s online programs are flipped classroom instructor led programs. In flip classroom format, learners are expected to go through video lectures on a weekly basis and then participate in live online instructor led sessions in a micro group containing up to 10 learners. The agenda of instruction led session is to do a quick debrief of video lectures for the week and discuss practical applications of the concepts covered in the video lecture of the week The problem statement is to create a mechanism to monitor and measure the attention span of the learners in the instructor led online sessions. Following are a few ideas on the measures that can be used to quantify the level of attention span: • out of the designated session-time, what proportion of session was one-way dialogue vs two-way dialogue • number of distinct learners who participated in the session • presence of background noise, chatters in the session, etc.. Expected Outcomes • Real time dashboard that quantifies the participation for each participant • Real time triggers in case of sub-optimal participation • Suggestions (along with implementation) of other ideas to quantify level / quality of interactions Great Learning will be sharing sample recording of the online mentored sessions",,,,,
#G038,Incentivized Tech Bin,Smart Technologies,A point based Incentivized Tech Bin will have the facility to generate gift token for the bin users based on the frequency of the user using the bin. Design a system where the user is rewarded with a printed token key each time garbage of more than 1 kg is put into the bin indicating the amount of garbage. Design a gamified portal to provide rewards motivating users to throw more and more garbage.,,,,,
#G039,Smart intelligent traffic accident monitoring systems,Smart Technologies,The objective is to develop a smart intelligent traffic signal system based on various image processing and artificial intelligence techniques to collect the real time traffic data and monitor accordingly to avoid big jams and accidents. Use inputs from tools like Google maps and design an app that can be installed on devices to track and report such traffic jams. Ensure appropriate trust mechanisms are enabled to trust an reported incident of traffic jam depending on number of inputs. Provide verification mechanisms to ensure that it can be verified by other users on the same route.,,,,,
#G040,Tracking the jute sacking bags production/procurement across the value chain,Smart Technologies,Design a application for tracking the jute sacking bags production/procurement across the value chain depending the invoice generated by the sellers. Track the movement from producer to sellers. Then provide an app to track the jute bags that are sold back to the recyclers.,,,,,
#G041,Cyber Crime Prevention,Cyber Security,"Cyber bullying involves posting and sharing wrong, private, negative, harmful information about victim. In today's digital world we see many such instances where a particular person is targeted. We are looking for the software solution to curb such bullying/harassment in cyber space. Such solution is expected to (1) work on social media such as twitter, facebook,etc. and on SMS, etc. (2) should alarm the authorities (3) facility to report such incidents to authority. Additional useful features are welcome.",,,,,
#G042,Tracking & Tracing of Fake News,Cyber Security,"Fake news has been a hot topic in the last few years in the form of Troll Farms and these Hoax News attempt to create public unrest like Lynching, Cyber Mobbing, Subvert and influence the public perceptions using social media platforms. • Desired Solution : The solution will detect Fake news like Offensive Text-(Comment, Post, Feeds), Offensive Images(Original or Morphed Pictures) and Offensive Multimedia Videos (Original or Fake Videos) across the Social Media websites using keywords crawling, APIs, Reverse Image and AI/ML/Data Mining techniques and original source of posting and nearer/proximate profiles.",,,,,
#G043,Detection of Malicious Content/Web Links related to Cyber Frauds,Cyber Security,"• Typically, malicious links are used to lure a victim into clicking through to a payload that is hosted on third-party sites rather than the malicious content being directly available from the social media platform. One-click exploits such as those used for account takeover could easily be distributed via social media and, when clicked, could exploit the victim in terms of profile takeover or misguiding users for fake advertisements. • Desired Solution: The solution will detect malicious links and its origin signature (first uploaded person-profile URL, name, email, number etc.) on a real time basis and provide advisory report to the public and corresponding agencies about those links source credibility.",,,,,
#G044,Detection of Malicious/Rogue/Honey-Trap Chatbot's at Social Media/other Web Platforms,Cyber Security,"• Typically, malicious links are used to lure a victim into malicious bots are used by cybercriminals to do their personal motives. • Desired Solution: The solution will detect malicious SPAM and SPIM bots/Zombie Bots/Malicious File-sharing Bots/Fraud Bots on cyber space and provide advisory scanning or detection solutions to public/LEAs.",,,,,
#G045,Detection of Child Predators/Cyber Harassers on Social Media,Cyber Security,"• Online predators try to gradually seduce their targets through attention, affection, kindness, and even gifts, and often devote considerable time, money and energy to this effort. They are aware of the latest music and hobbies likely to interest kids. They listen to and sympathize with kids' problems. They also try to ease young people's inhibitions by gradually introducing sexual content into their conversations or by showing them sexually explicit material. • Desired Solution : The solution will detect suspect profiles based on child grooming behavior patterns followers, hate speech provokers, stalking and bullying mentality profiles and explicit content explorers ( postings, comments) on social media platforms and other websites",,,,,
#G046,Proxy & VPN Detector,Cyber Security,• Cyber Offenders are masking themselves with Proxy and VPN services • Desired Solution: The solution should scan and detect the given IP address (IPv4/IPv6) is Original IP or Proxy/VPN enabled IP address and also the application should fetch the details of Whois Records of respective IP or Website input,,,,,
#G047,Data Crawlers to collect data,Cyber Security,"Data Crawlers to collect data on given Keywords from the web in areas of child and woman abuse, cyber bullying, pornography, etc.",,,,,
#G048,Authenticating User while performing transaction at ATM/POS Terminal Securely,Cyber Security,"1. There are many modern mechanisms to authenticate a transaction at ATM/POS. 2. Some of Authentication mechanisms are PIN, facial recognition, fingerprint etc. 3. But every mechanism has drawbacks like data storage and securing the users data from hackers is additional and difficult task. 4. There is need for solution which can ensure 100% secure. 5. The solution should be such that user need to authenticate a transaction in a very secure environment. Scenario 1: 1. A under display camera touchpad screen should be replaced by existing number keypad. 2. When user is prompted for PIN, user can hover his fingers on screen to enter PIN. 3. For example, if user hovers 2 fingers than software will detect the digit as 2 using Machine Learning algorithms. 4. Similarly, user can enter all the digits and can completed the transaction 5. In order secure user interaction, a small chamber is required at ATM where user can place his hands and enters his PIN. Scenario 2: 1. A under display camera touchpad screen should be replaced by existing number keypad. 2. When user is prompted for PIN, user can swipe his fingers on screen to enter PIN. 3. For example, if user swipes 2 fingers than software will detect the digit as 2 using Machine Learning algorithms. 4. Similarly, user can enter all the digits and can completed the transaction. 5. In order secure user interaction, a small chamber is required at ATM where user can place his hands and enters his PIN. Is it required to change the existing process? 1. Transaction can be done like existing process. No process needs to be changed except the way user is authenticated. Does new solution require Bluetooth connectivity: No Sample Data Required: No Any new hardware required: Yes",,,,,
#G049,Cyber Crime Tracking,Cyber Security,1) Mechanism / tool that retrieves the information relating to transmission of a disputed posting and immediate deletion of the same within no time from WhatsApp messenger. 2) Mechanism / tool that capture the GPS coordinates & other credentials of certain message / posting posted using WhatsApp / Facebook and other messaging APPs. 3) Mechanism / tool that retrieves the initial user of certain posting in WhatsApp and Facebook using message ID. 4) Mechanism / tool that pings any social media account and capture the IP address and other credentials associated with that account. 5) Mechanism / tool / device that sends a signal to the target mobile and calculate the distance and direction from the source.,,,,,
#G050,Detection of Fake Profiles,Cyber Security,• Cybercriminals are creating fake profile and carry out defaming/Political & Religious Propaganda on a large scale against individual or Organizations/Government Bodies and they are creating unrest among the society. • Desired Solution: The solution will be detected Fake profiles and Similar Fake Profiles across the Social Media and Create Social Media Profiling with detailed metadata of respective user and it shall be capable to assist to trace back anonymous suspects,,,,,
